"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-07",,"59","96","0","76.5","85.5","67.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-08",,"63","98","0","79.0","88.0","69.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-09",,"48","100","20","70.0","79.6","60.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-10",,"31","93","285","57.8","68.2","47.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-11",,"28","73","836","45.4","55.3","35.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1939-12",,"11","67","1659","38.5","46.0","31.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-01","0","5","51","2922","24.2","31.6","16.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-02","0","18","56","3796","34.9","42.3","27.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-03","0","18","67","4589","39.4","47.7","31.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-04","0","28","75","5071","48.9","58.0","39.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-05","57","43","93","5183","63.2","72.7","53.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-06","331","50","96","5188","74.0","83.9","64.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-07","759","59","101","0","78.8","88.4","69.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-08","1031","56","91","8","73.5","80.2","66.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-09","1178","43","94","57","68.2","77.4","59.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-10","1184","29","85","390","54.5","63.7","45.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-11","1184","25","75","944","46.5","54.8","38.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1940-12","1184","14","61","1696","40.7","48.9","32.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-01","0","18","59","2684","33.2","39.5","26.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-02","0","18","53","3585","32.8","40.2","25.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-03","0","16","68","4385","39.2","48.8","29.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-04","46","34","92","4629","58.4","69.8","47.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-05","190","39","100","4707","67.1","80.0","54.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-06","454","57","95","4715","73.5","82.5","64.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-07","838","62","104","0","77.4","86.2","68.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-08","1158","53","100","1","75.3","86.4","64.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-09","1390","45","100","21","72.0","83.4","60.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-10","1511","33","99","186","63.6","74.2","52.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-11","1511","28","73","643","49.8","60.4","39.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1941-12","1511","22","63","1392","40.8","47.9","33.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-01","0","6","62","2361","33.7","41.0","26.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-02","0","11","57","3254","33.1","40.0","26.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-03","0","29","73","3861","45.4","53.7","37.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-04","35","36","89","4122","57.5","68.5","46.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-05","172","46","95","4149","68.5","78.2","58.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-06","452","56","93","4153","74.2","83.1","65.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-07","896","64","100","0","79.3","89.0","69.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-08","1213","52","95","1","75.2","83.8","66.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-09","1435","38","92","56","70.5","80.7","60.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-10","1444","35","84","223","59.9","68.2","51.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","1942-11","1444","27","75","750","47.5","55.9","39.0"
