,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,46.8353631496,41.7964699268,0.911113959267,0.919716275701,10,0.0,1,45,Nadam,1,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",42,0.911113959267,0.919716275701,0.0,0.0,0.0,0.0
1,40.9024121761,39.6023747921,0.915919303756,0.916632393571,10,0.0,1,45,Nadam,2,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",39,0.915919303756,0.916632393571,0.0,0.0,0.0,0.0
2,41.4778389931,42.5978939533,0.937402022937,0.944181735627,10,0.0,1,45,Nadam,3,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",4,0.937402022937,0.944181735627,0.0,0.0,0.0,0.0
3,43.3355400562,40.0628409386,0.930515218299,0.934930090891,10,0.0,1,45,Nadam,4,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",27,0.930515218299,0.934930090891,0.0,0.0,0.0,0.0
4,42.3563859463,42.4680171013,0.935603230621,0.942845387237,10,0.0,1,45,Nadam,5,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",11,0.935603230621,0.942845387237,0.0,0.0,0.0,0.0
5,43.7336769104,45.5566191673,0.934112802686,0.939864301919,10,0.1,1,45,Nadam,1,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",15,0.934112802686,0.939864301919,0.0,0.0,0.0,0.0
6,43.2065360546,45.7111639977,0.926095328784,0.933799335022,10,0.1,1,45,Nadam,2,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",36,0.926095328784,0.933799335022,0.0,0.0,0.0,0.0
7,41.7656490803,47.5719587803,0.933598862107,0.940789466001,10,0.1,1,45,Nadam,3,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",17,0.933598862107,0.940789466001,0.0,0.0,0.0,0.0
8,43.1349000931,47.0929558277,0.937273537992,0.945312493089,10,0.1,1,45,Nadam,4,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",6,0.937273537992,0.945312493089,0.0,0.0,0.0,0.0
9,43.840610981,45.2918729782,0.938018752005,0.945929269429,10,0.1,1,45,Nadam,5,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",3,0.938018752005,0.945929269429,0.0,0.0,0.0,0.0
