,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,39.2190430164,39.0193209648,0.919080039062,0.915604433437,10,0.0,1,45,Nadam,1,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",49,0.919080039062,0.915604433437,0.0,0.0,0.0,0.0
1,49.4864571095,37.317196846,0.933110618414,0.935546867844,10,0.0,1,45,Nadam,2,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",23,0.933110618414,0.935546867844,0.0,0.0,0.0,0.0
2,47.8645009995,39.5199830532,0.932493889637,0.934724499471,10,0.0,1,45,Nadam,3,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",27,0.932493889637,0.934724499471,0.0,0.0,0.0,0.0
3,48.3197920322,39.6921861172,0.936271353689,0.943976144025,10,0.0,1,45,Nadam,4,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",3,0.936271353689,0.943976144025,0.0,0.0,0.0,0.0
4,50.075950861,38.6465771198,0.930592309696,0.938013972898,10,0.0,1,45,Nadam,5,"{'dropout_rate': 0.0, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",36,0.930592309696,0.938013972898,0.0,0.0,0.0,0.0
5,50.052781105,37.8518230915,0.931260432404,0.936574828431,10,0.1,1,45,Nadam,1,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",34,0.931260432404,0.936574828431,0.0,0.0,0.0,0.0
6,50.0571010113,35.6075980663,0.928510849525,0.929893084459,10,0.1,1,45,Nadam,2,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",41,0.928510849525,0.929893084459,0.0,0.0,0.0,0.0
7,50.9066979885,39.0407469273,0.934369773343,0.941817427201,10,0.1,1,45,Nadam,3,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",13,0.934369773343,0.941817427201,0.0,0.0,0.0,0.0
8,49.8838458061,38.1876521111,0.936322747826,0.942639795512,10,0.1,1,45,Nadam,4,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",2,0.936322747826,0.942639795512,0.0,0.0,0.0,0.0
9,51.8414919376,38.5194201469,0.922060894366,0.924444892983,10,0.1,1,45,Nadam,5,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",47,0.922060894366,0.924444892983,0.0,0.0,0.0,0.0
10,49.7729511261,38.6621389389,0.924707688932,0.932462986473,10,0.2,1,45,Nadam,1,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",46,0.924707688932,0.932462986473,0.0,0.0,0.0,0.0
11,50.1018209457,35.885436058,0.932108434157,0.934724499104,10,0.2,1,45,Nadam,2,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",30,0.932108434157,0.934724499104,0.0,0.0,0.0,0.0
12,50.7482609749,36.9880731106,0.928202485251,0.932257393767,10,0.2,1,45,Nadam,3,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",43,0.928202485251,0.932257393767,0.0,0.0,0.0,0.0
13,51.0261650085,38.2561159134,0.93180006996,0.935752459508,10,0.2,1,45,Nadam,4,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",31,0.93180006996,0.935752459508,0.0,0.0,0.0,0.0
14,50.9516608715,39.740046978,0.935808807125,0.939761506148,10,0.2,1,45,Nadam,5,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",6,0.935808807125,0.939761506148,0.0,0.0,0.0,0.0
15,49.4813270569,39.3079199791,0.928485152701,0.931126637409,10,0.3,1,45,Nadam,1,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",42,0.928485152701,0.931126637409,0.0,0.0,0.0,0.0
16,50.0199840069,41.5237250328,0.929667216347,0.932874169777,10,0.3,1,45,Nadam,2,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",38,0.929667216347,0.932874169777,0.0,0.0,0.0,0.0
17,51.2838099003,38.0881240368,0.936476929733,0.938116769098,10,0.3,1,45,Nadam,3,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",1,0.936476929733,0.938116769098,0.0,0.0,0.0,0.0
