,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,42.9071071148,32.4322910309,0.92964151911,0.937191604159,10,0.0,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",13,0.92964151911,0.937191604159,0.0,0.0,0.0,0.0
1,34.4490890503,39.1055839062,0.925221629564,0.928556735701,10,0.0,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",23,0.925221629564,0.928556735701,0.0,0.0,0.0,0.0
2,37.7577469349,39.6738400459,0.934549652502,0.9412006508,10,0.0,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",2,0.934549652502,0.9412006508,0.0,0.0,0.0,0.0
3,35.133713007,38.2720148563,0.933650256229,0.939864302348,10,0.0,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",5,0.933650256229,0.939864302348,0.0,0.0,0.0,0.0
4,35.3863370419,36.4606039524,0.644764233257,0.644736845725,10,0.0,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",28,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
5,36.1539998055,41.843318224,0.644764233257,0.644736845725,10,0.1,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",28,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
6,36.6335029602,39.534870863,0.923525625263,0.924547689857,10,0.1,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",24,0.923525625263,0.924547689857,0.0,0.0,0.0,0.0
7,35.4112079144,35.4841609001,0.92946163995,0.936472031925,10,0.1,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",14,0.92946163995,0.936472031925,0.0,0.0,0.0,0.0
8,35.5260071754,39.051571846,0.922651926258,0.925164465915,10,0.1,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",26,0.922651926258,0.925164465915,0.0,0.0,0.0,0.0
9,34.7632539272,36.8854401112,0.935397654577,0.943050980004,10,0.1,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",1,0.935397654577,0.943050980004,0.0,0.0,0.0,0.0
10,37.4268550873,39.4688007832,0.911833476097,0.920127459826,10,0.2,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",27,0.911833476097,0.920127459826,0.0,0.0,0.0,0.0
11,35.27480793,42.7372090816,0.923165866913,0.923725321509,10,0.2,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",25,0.923165866913,0.923725321509,0.0,0.0,0.0,0.0
12,36.3143911362,39.64929986,0.932159828509,0.934107722641,10,0.2,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",8,0.932159828509,0.934107722641,0.0,0.0,0.0,0.0
13,39.1287090778,37.6145050526,0.644764233257,0.644736845725,10,0.2,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",28,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
14,35.8211789131,43.1246008873,0.933701650581,0.941611834986,10,0.2,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",3,0.933701650581,0.941611834986,0.0,0.0,0.0,0.0
15,40.043847084,45.2908029556,0.928767819936,0.929790288774,10,0.3,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",15,0.928767819936,0.929790288774,0.0,0.0,0.0,0.0
16,39.3009858131,47.054828167,0.930874976725,0.935341275689,10,0.3,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",10,0.930874976725,0.935341275689,0.0,0.0,0.0,0.0
