,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,47.1968419552,31.6604511738,0.927508665406,0.926500814857,10,0.0,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",24,0.927508665406,0.926500814857,0.0,0.0,0.0,0.0
1,39.6994850636,31.2654659748,0.934318378914,0.941611835231,10,0.0,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",12,0.934318378914,0.941611835231,0.0,0.0,0.0,0.0
2,40.5394668579,31.4798700809,0.935885898201,0.942434202867,10,0.0,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",3,0.935885898201,0.942434202867,0.0,0.0,0.0,0.0
3,39.5308310986,28.3323349953,0.936656809107,0.944078940469,10,0.0,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",2,0.936656809107,0.944078940469,0.0,0.0,0.0,0.0
4,36.2198581696,33.0192708969,0.93673390036,0.945004105041,10,0.0,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",1,0.93673390036,0.945004105041,0.0,0.0,0.0,0.0
5,40.1147968769,36.2160000801,0.922497744289,0.929481900089,10,0.1,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",26,0.922497744289,0.929481900089,0.0,0.0,0.0,0.0
6,43.1560089588,35.2758281231,0.932365404814,0.938939137041,10,0.1,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",16,0.932365404814,0.938939137041,0.0,0.0,0.0,0.0
7,42.5402059555,34.7997140884,0.935474745676,0.943153775652,10,0.1,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",5,0.935474745676,0.943153775652,0.0,0.0,0.0,0.0
8,40.9515800476,32.1541240215,0.935063593004,0.943667755548,10,0.1,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",9,0.935063593004,0.943667755548,0.0,0.0,0.0,0.0
9,38.823759079,33.3059399128,0.925093144757,0.934313315163,10,0.1,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",25,0.925093144757,0.934313315163,0.0,0.0,0.0,0.0
