,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,586.136951923,41.0460910797,0.940768334165,0.954872526363,10,0,16,45,Nadam,3,"{'dropout_rate': 0, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",8,0.940768334165,0.954872526363,0.0,0.0,0.0,0.0
1,637.702581882,39.2246601582,0.940973910378,0.958573184589,10,0,16,45,Nadam,4,"{'dropout_rate': 0, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",7,0.940973910378,0.958573184589,0.0,0.0,0.0,0.0
2,622.178195953,41.59029603,0.943338037211,0.959703941254,10,0,16,45,Nadam,5,"{'dropout_rate': 0, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",3,0.943338037211,0.959703941254,0.0,0.0,0.0,0.0
3,629.138184071,43.170468092,0.938686874246,0.951891440923,10,0.1,16,45,Nadam,3,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",11,0.938686874246,0.951891440923,0.0,0.0,0.0,0.0
4,632.062460184,40.0567238331,0.942412944115,0.958470388205,10,0.1,16,45,Nadam,4,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",5,0.942412944115,0.958470388205,0.0,0.0,0.0,0.0
5,645.405788183,40.3226139545,0.935706018858,0.95569489449,10,0.1,16,45,Nadam,5,"{'dropout_rate': 0.1, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",12,0.935706018858,0.95569489449,0.0,0.0,0.0,0.0
6,642.314424038,40.5373978615,0.943543613807,0.95836759268,10,0.2,16,45,Nadam,3,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",2,0.943543613807,0.95836759268,0.0,0.0,0.0,0.0
7,634.164825916,41.000934124,0.940588455143,0.958264796664,10,0.2,16,45,Nadam,4,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",9,0.940588455143,0.958264796664,0.0,0.0,0.0,0.0
8,643.456463099,42.6829938889,0.943003975853,0.961451474381,10,0.2,16,45,Nadam,5,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",4,0.943003975853,0.961451474381,0.0,0.0,0.0,0.0
9,636.072375059,42.9233269691,0.94171912456,0.955180914533,10,0.3,16,45,Nadam,3,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",6,0.94171912456,0.955180914533,0.0,0.0,0.0,0.0
10,631.647060156,41.7641689777,0.943980463578,0.958264796357,10,0.3,16,45,Nadam,4,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",1,0.943980463578,0.958264796357,0.0,0.0,0.0,0.0
11,638.421018124,42.7986769676,0.939329300245,0.953536177789,10,0.3,16,45,Nadam,5,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 16, 'neurons': 45}",10,0.939329300245,0.953536177789,0.0,0.0,0.0,0.0
