,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,40.3140940666,30.3577709198,0.644764233098,0.644736846258,10,1,"{'epochs': 1, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
1,46.3436961174,34.2894399166,0.644764233098,0.644736846258,10,2,"{'epochs': 2, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
2,82.004611969,41.5338709354,0.644764233098,0.644736846258,10,4,"{'epochs': 4, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
3,160.438431978,45.0372219086,0.644764233098,0.644736846258,10,8,"{'epochs': 8, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
4,315.961232901,45.602175951,0.644764233098,0.644736846258,10,16,"{'epochs': 16, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
5,625.576023817,44.1818840504,0.644764233098,0.644736846258,10,32,"{'epochs': 32, 'batch_size': 10}",3,0.644764233098,0.644736846258,0.0,0.0,0.0,0.0
6,17.6998410225,14.700304985,0.644764230771,0.644736839507,100,1,"{'epochs': 1, 'batch_size': 100}",27,0.644764230771,0.644736839507,0.0,0.0,0.0,0.0
7,15.1026940346,13.7664520741,0.644764230771,0.644736839507,100,2,"{'epochs': 2, 'batch_size': 100}",27,0.644764230771,0.644736839507,0.0,0.0,0.0,0.0
8,28.0949640274,16.6205339432,0.934010024229,0.941200658164,100,4,"{'epochs': 4, 'batch_size': 100}",2,0.934010024229,0.941200658164,0.0,0.0,0.0,0.0
9,43.4923939705,19.4793539047,0.644764230771,0.644736839507,100,8,"{'epochs': 8, 'batch_size': 100}",27,0.644764230771,0.644736839507,0.0,0.0,0.0,0.0
10,85.4891829491,21.980984211,0.644764230771,0.644736839507,100,16,"{'epochs': 16, 'batch_size': 100}",27,0.644764230771,0.644736839507,0.0,0.0,0.0,0.0
11,168.832832098,28.2314867973,0.644764230771,0.644736839507,100,32,"{'epochs': 32, 'batch_size': 100}",27,0.644764230771,0.644736839507,0.0,0.0,0.0,0.0
12,14.4642031193,13.0598418713,0.644764230312,0.644736844507,200,1,"{'epochs': 1, 'batch_size': 200}",32,0.644764230312,0.644736844507,0.0,0.0,0.0,0.0
13,15.4814422131,12.8120148182,0.644764230312,0.644736844507,200,2,"{'epochs': 2, 'batch_size': 200}",32,0.644764230312,0.644736844507,0.0,0.0,0.0,0.0
14,22.258605957,14.9768540859,0.644764230312,0.644736844507,200,4,"{'epochs': 4, 'batch_size': 200}",32,0.644764230312,0.644736844507,0.0,0.0,0.0,0.0
15,36.6385300159,17.3721759319,0.644764230312,0.644736844507,200,8,"{'epochs': 8, 'batch_size': 200}",32,0.644764230312,0.644736844507,0.0,0.0,0.0,0.0
16,75.5005450249,21.0313489437,0.934806629876,0.946957234979,200,16,"{'epochs': 16, 'batch_size': 200}",1,0.934806629876,0.946957234979,0.0,0.0,0.0,0.0
17,129.105937004,26.6926908493,0.644764230312,0.644736844507,200,32,"{'epochs': 32, 'batch_size': 200}",32,0.644764230312,0.644736844507,0.0,0.0,0.0,0.0
18,15.0791089535,14.0456531048,0.64476423169,0.644736836738,500,1,"{'epochs': 1, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
19,13.903247118,13.5627188683,0.64476423169,0.644736836738,500,2,"{'epochs': 2, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
20,24.1031491756,14.6631278992,0.64476423169,0.644736836738,500,4,"{'epochs': 4, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
21,38.2450768948,16.4565501213,0.64476423169,0.644736836738,500,8,"{'epochs': 8, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
22,72.0148060322,20.357407093,0.64476423169,0.644736836738,500,16,"{'epochs': 16, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
23,137.052222967,25.5312891006,0.64476423169,0.644736836738,500,32,"{'epochs': 32, 'batch_size': 500}",9,0.64476423169,0.644736836738,0.0,0.0,0.0,0.0
24,14.9292302132,14.4776799679,0.644764231637,0.644736829116,1000,1,"{'epochs': 1, 'batch_size': 1000}",15,0.644764231637,0.644736829116,0.0,0.0,0.0,0.0
25,14.4165039062,13.6360311508,0.644764231637,0.644736829116,1000,2,"{'epochs': 2, 'batch_size': 1000}",15,0.644764231637,0.644736829116,0.0,0.0,0.0,0.0
26,20.9339940548,14.9749948978,0.644764231637,0.644736829116,1000,4,"{'epochs': 4, 'batch_size': 1000}",15,0.644764231637,0.644736829116,0.0,0.0,0.0,0.0
