,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,25.1169178486,26.2912111282,0.933598862123,0.937808380622,10,1,"{'epochs': 1, 'batch_size': 10}",13,0.933598862123,0.937808380622,0.0,0.0,0.0,0.0
1,55.6203448772,33.0815329552,0.936142868636,0.941714631247,10,2,"{'epochs': 2, 'batch_size': 10}",10,0.936142868636,0.941714631247,0.0,0.0,0.0,0.0
2,94.4401371479,38.8285388947,0.937761781716,0.949218743285,10,4,"{'epochs': 4, 'batch_size': 10}",5,0.937761781716,0.949218743285,0.0,0.0,0.0,0.0
3,185.487611055,38.6345860958,0.936322747796,0.949424335255,10,8,"{'epochs': 8, 'batch_size': 10}",9,0.936322747796,0.949424335255,0.0,0.0,0.0,0.0
4,355.959334135,40.0177278519,0.942618520603,0.960217921455,10,16,"{'epochs': 16, 'batch_size': 10}",1,0.942618520603,0.960217921455,0.0,0.0,0.0,0.0
5,708.018676996,38.1382200718,0.941333668896,0.967002461444,10,32,"{'epochs': 32, 'batch_size': 10}",2,0.941333668896,0.967002461444,0.0,0.0,0.0,0.0
6,23.2222440243,13.9677679539,0.911139667218,0.910464639555,100,1,"{'epochs': 1, 'batch_size': 100}",23,0.911139667218,0.910464639555,0.0,0.0,0.0,0.0
7,17.8512570858,12.3369479179,0.92242066055,0.923622532208,100,2,"{'epochs': 2, 'batch_size': 100}",21,0.92242066055,0.923622532208,0.0,0.0,0.0,0.0
8,26.1313970089,17.7070100307,0.933059233749,0.937705592693,100,4,"{'epochs': 4, 'batch_size': 100}",16,0.933059233749,0.937705592693,0.0,0.0,0.0,0.0
9,54.4044950008,19.7631900311,0.935603239482,0.945312501863,100,8,"{'epochs': 8, 'batch_size': 100}",11,0.935603239482,0.945312501863,0.0,0.0,0.0,0.0
10,89.7565751076,23.5252950191,0.939380703105,0.953638987052,100,16,"{'epochs': 16, 'batch_size': 100}",3,0.939380703105,0.953638987052,0.0,0.0,0.0,0.0
11,185.384023905,28.1799991131,0.936528332234,0.954461352238,100,32,"{'epochs': 32, 'batch_size': 100}",8,0.936528332234,0.954461352238,0.0,0.0,0.0,0.0
12,22.1415808201,11.6075541973,0.903019401304,0.902446545808,200,1,"{'epochs': 1, 'batch_size': 200}",26,0.903019401304,0.902446545808,0.0,0.0,0.0,0.0
13,16.1691789627,14.3236179352,0.906951046206,0.906866776659,200,2,"{'epochs': 2, 'batch_size': 200}",25,0.906951046206,0.906866776659,0.0,0.0,0.0,0.0
14,24.5185348988,15.6983170509,0.924039575774,0.926192434897,200,4,"{'epochs': 4, 'batch_size': 200}",19,0.924039575774,0.926192434897,0.0,0.0,0.0,0.0
15,41.8790991306,18.2340819836,0.933213414799,0.939761512031,200,8,"{'epochs': 8, 'batch_size': 200}",15,0.933213414799,0.939761512031,0.0,0.0,0.0,0.0
16,91.1297969818,21.1207799911,0.937658998626,0.9484991742,200,16,"{'epochs': 16, 'batch_size': 200}",6,0.937658998626,0.9484991742,0.0,0.0,0.0,0.0
17,140.71634388,26.4539539814,0.938558393941,0.953947364794,200,32,"{'epochs': 32, 'batch_size': 200}",4,0.938558393941,0.953947364794,0.0,0.0,0.0,0.0
