,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,36.3377628326,32.2402350903,0.934703834609,0.937911177005,10,1,"{'epochs': 1, 'batch_size': 10}",12,0.934703834609,0.937911177005,0.0,0.0,0.0,0.0
1,39.5507969856,36.5185739994,0.93534626047,0.940481078443,10,2,"{'epochs': 2, 'batch_size': 10}",11,0.93534626047,0.940481078443,0.0,0.0,0.0,0.0
2,67.7504069805,38.1103959084,0.644764233257,0.644736845725,10,4,"{'epochs': 4, 'batch_size': 10}",32,0.644764233257,0.644736845725,0.0,0.0,0.0,0.0
3,127.62745595,48.1020829678,0.932776557194,0.950966276167,10,8,"{'epochs': 8, 'batch_size': 10}",16,0.932776557194,0.950966276167,0.0,0.0,0.0,0.0
4,247.040832996,51.7428231239,0.9391751182,0.956928447722,10,16,"{'epochs': 16, 'batch_size': 10}",2,0.9391751182,0.956928447722,0.0,0.0,0.0,0.0
5,483.767922163,50.5346159935,0.940665546028,0.965152132423,10,32,"{'epochs': 32, 'batch_size': 10}",1,0.940665546028,0.965152132423,0.0,0.0,0.0,0.0
6,18.6670060158,13.1320168972,0.644764228413,0.644736843894,100,1,"{'epochs': 1, 'batch_size': 100}",48,0.644764228413,0.644736843894,0.0,0.0,0.0,0.0
7,16.0241448879,13.025357008,0.927791341394,0.928145558451,100,2,"{'epochs': 2, 'batch_size': 100}",17,0.927791341394,0.928145558451,0.0,0.0,0.0,0.0
8,21.5760259628,15.9662799835,0.93418990116,0.937808390486,100,4,"{'epochs': 4, 'batch_size': 100}",13,0.93418990116,0.937808390486,0.0,0.0,0.0,0.0
9,39.6929159164,16.4253621101,0.937890275292,0.950143918469,100,8,"{'epochs': 8, 'batch_size': 100}",4,0.937890275292,0.950143918469,0.0,0.0,0.0,0.0
10,72.9170451164,20.2579438686,0.934035720823,0.952611022604,100,16,"{'epochs': 16, 'batch_size': 100}",14,0.934035720823,0.952611022604,0.0,0.0,0.0,0.0
11,133.855426073,27.6883900166,0.936810998703,0.956106089962,100,32,"{'epochs': 32, 'batch_size': 100}",5,0.936810998703,0.956106089962,0.0,0.0,0.0,0.0
