,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,25.11691785,26.29121113,0.933598862,0.937808381,10,1,"{'epochs': 1, 'batch_size': 10}",13,0.933598862,0.937808381,0,0,0,0
1,55.62034488,33.08153296,0.936142869,0.941714631,10,2,"{'epochs': 2, 'batch_size': 10}",10,0.936142869,0.941714631,0,0,0,0
2,94.44013715,38.82853889,0.937761782,0.949218743,10,4,"{'epochs': 4, 'batch_size': 10}",5,0.937761782,0.949218743,0,0,0,0
3,185.4876111,38.6345861,0.936322748,0.949424335,10,8,"{'epochs': 8, 'batch_size': 10}",9,0.936322748,0.949424335,0,0,0,0
4,355.9593341,40.01772785,0.942618521,0.960217921,10,16,"{'epochs': 16, 'batch_size': 10}",1,0.942618521,0.960217921,0,0,0,0
5,708.018677,38.13822007,0.941333669,0.967002461,10,32,"{'epochs': 32, 'batch_size': 10}",2,0.941333669,0.967002461,0,0,0,0
6,23.22224402,13.96776795,0.911139667,0.91046464,100,1,"{'epochs': 1, 'batch_size': 100}",23,0.911139667,0.91046464,0,0,0,0
7,17.85125709,12.33694792,0.922420661,0.923622532,100,2,"{'epochs': 2, 'batch_size': 100}",21,0.922420661,0.923622532,0,0,0,0
8,26.13139701,17.70701003,0.933059234,0.937705593,100,4,"{'epochs': 4, 'batch_size': 100}",16,0.933059234,0.937705593,0,0,0,0
9,54.404495,19.76319003,0.935603239,0.945312502,100,8,"{'epochs': 8, 'batch_size': 100}",11,0.935603239,0.945312502,0,0,0,0
10,89.75657511,23.52529502,0.939380703,0.953638987,100,16,"{'epochs': 16, 'batch_size': 100}",3,0.939380703,0.953638987,0,0,0,0
11,185.3840239,28.17999911,0.936528332,0.954461352,100,32,"{'epochs': 32, 'batch_size': 100}",8,0.936528332,0.954461352,0,0,0,0
12,22.14158082,11.6075542,0.903019401,0.902446546,200,1,"{'epochs': 1, 'batch_size': 200}",26,0.903019401,0.902446546,0,0,0,0
13,16.16917896,14.32361794,0.906951046,0.906866777,200,2,"{'epochs': 2, 'batch_size': 200}",25,0.906951046,0.906866777,0,0,0,0
14,24.5185349,15.69831705,0.924039576,0.926192435,200,4,"{'epochs': 4, 'batch_size': 200}",19,0.924039576,0.926192435,0,0,0,0
15,41.87909913,18.23408198,0.933213415,0.939761512,200,8,"{'epochs': 8, 'batch_size': 200}",15,0.933213415,0.939761512,0,0,0,0
16,91.12979698,21.12077999,0.937658999,0.948499174,200,16,"{'epochs': 16, 'batch_size': 200}",6,0.937658999,0.948499174,0,0,0,0
17,140.7163439,26.45395398,0.938558394,0.953947365,200,32,"{'epochs': 32, 'batch_size': 200}",4,0.938558394,0.953947365,0,0,0,0
18,20.83692193,12.97882104,0.887729668,0.891344578,500,1,"{'epochs': 1, 'batch_size': 500}",32,0.887729668,0.891344578,0,0,0,0
19,14.63345385,12.80261111,0.876525759,0.874177633,500,2,"{'epochs': 2, 'batch_size': 500}",34,0.876525759,0.874177633,0,0,0,0
20,23.10479093,13.34030485,0.890222282,0.887541121,500,4,"{'epochs': 4, 'batch_size': 500}",31,0.890222282,0.887541121,0,0,0,0
21,37.86364007,15.05886889,0.921932417,0.924239309,500,8,"{'epochs': 8, 'batch_size': 500}",22,0.921932417,0.924239309,0,0,0,0
22,72.51226616,18.90127993,0.933547471,0.939967104,500,16,"{'epochs': 16, 'batch_size': 500}",14,0.933547471,0.939967104,0,0,0,0
23,145.532814,25.66733503,0.937607605,0.950143911,500,32,"{'epochs': 32, 'batch_size': 500}",7,0.937607605,0.950143911,0,0,0,0
24,16.06857681,12.38879204,0.854734675,0.850637336,1000,1,"{'epochs': 1, 'batch_size': 1000}",37,0.854734675,0.850637336,0,0,0,0
25,12.15967703,12.62643003,0.803751768,0.804276325,1000,2,"{'epochs': 2, 'batch_size': 1000}",41,0.803751768,0.804276325,0,0,0,0
26,19.71383619,14.25921583,0.862675062,0.862150492,1000,4,"{'epochs': 4, 'batch_size': 1000}",36,0.862675062,0.862150492,0,0,0,0
27,36.70706606,15.02708387,0.902017215,0.903371702,1000,8,"{'epochs': 8, 'batch_size': 1000}",27,0.902017215,0.903371702,0,0,0,0
28,65.92589617,16.20132804,0.923371453,0.927734375,1000,16,"{'epochs': 16, 'batch_size': 1000}",20,0.923371453,0.927734375,0,0,0,0
