backend,training %,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
theano,20,1006.465,55.959,0.937,0.911,0.914,0.909,0.965,0.950,0.972,0.929
theano,40,2969.668,32.443,0.946,0.925,0.915,0.936,0.964,0.950,0.942,0.958
theano,60,5689.954,20.004,0.950,0.931,0.921,0.941,0.964,0.950,0.939,0.961
theano,80,9441.885,10.793,0.954,0.934,0.944,0.924,0.963,0.947,0.955,0.940
tensorFlow,20,651.0757708,137.5317968,0.943841706,0.920496761,0.926193469,0.91526331,0.968462171,0.95527871,0.962203853,0.948726852
tensorFlow,40,1303.074141,95.48259359,0.947399438,0.925282103,0.933468755,0.917978395,0.963005602,0.947483807,0.95541983,0.940219907
tensorFlow,60,1946.265,64.962,0.947,0.926,0.924,0.928,0.959,0.942,0.943,0.941
tensorFlow,80,2450.676892,32.98340573,0.950395724,0.928434555,0.952088709,0.905960648,0.959032739,0.940999362,0.963354975,0.919690394
cntk,20,2459.655353,71.98943305,0.92493897,0.900296959,0.852323402,0.953993056,0.951480263,0.934698395,0.895546129,0.977430556
cntk,40,6377.696684,47.59230304,0.948091551,0.927446004,0.921050128,0.933931327,0.961607648,0.946524447,0.93680034,0.956452546
cntk,60,12045.26842,30.57804394,0.952615891,0.932225816,0.947549313,0.917390046,0.962617783,0.946527471,0.962232187,0.93132716
cntk,80,15492.40348,16.58271599,0.951690821,0.93112544,0.943289786,0.919270833,0.960322763,0.943637293,0.952468681,0.934968171
