backend,training %,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall
tensorFlow,20,651.0757708,137.5317968,0.943841706,0.920496761,0.926193469,0.91526331,0.968462171,0.95527871,0.962203853,0.948726852
tensorFlow,40,1310.953509,93.3682724,0.947344618,0.925351193,0.932381757,0.91876929,0.963396207,0.94805344,0.955866022,0.940625
tensorFlow,60,2008.8726,63.07566,0.94782,0.926515,0.9276785,0.9256076,0.9607264,0.944434,0.9497896,0.9392746
tensorFlow,80,2513.900638,31.80286927,0.947702744,0.925856904,0.933376467,0.918865741,0.958025389,0.940450648,0.948645693,0.932609954
theano,20,992.7394271,49.53842902,0.942824104,0.919129139,0.923661334,0.914641204,0.972759046,0.961183536,0.973301691,0.949363426
theano,40,3009.082213,32.04044199,0.941958473,0.913861487,0.966444397,0.866705247,0.953795549,0.931775063,0.979888268,0.888165509
theano,60,5338.482187,21.40110898,0.949121184,0.927684441,0.936854529,0.91869213,0.964193935,0.949016929,0.960213249,0.938078704
theano,80,9526.615221,10.57120514,0.950971323,0.92909172,0.955365332,0.904224537,0.958935088,0.940827964,0.963738431,0.918981481
cntk,20,2269.599856,68.87311101,0.943158165,0.919616251,0.923981306,0.915292245,0.963712993,0.948202494,0.961893421,0.934895833
cntk,40,5261.870994,47.2642529,0.930377578,0.907240026,0.861241116,0.958429784,0.946034846,0.92733564,0.888829928,0.969328704
cntk,60,9564.965542,30.54552794,0.948247507,0.926864696,0.930581887,0.923177083,0.956621552,0.938525784,0.94504205,0.932098765
cntk,80,13035.00743,16.54408383,0.947271045,0.927367974,0.907956751,0.947627315,0.953538572,0.935972803,0.916816983,0.955946181
