backend,mean_fit_time,mean_score_time,mean_test_score,param_epochs
cntk,135.608066,26.73049498,0.934434037,1
cntk,274.6225301,25.353719,0.934716704,2
cntk,587.8625554,26.3468895,0.937196467,4
cntk,1260.647067,25.15099096,0.93830144,8
cntk,2699.030973,21.17864358,0.940871143,16
theano,56.98048592,16.78959405,0.932018495,1
theano,99.03732598,17.2059046,0.938853905,2
theano,215.965655,17.45912158,0.937633296,4
theano,476.5900995,16.73690355,0.928266728,8
theano,1044.725887,16.43789351,0.934408319,16
tensorFlow,56.98125219,40.22495389,0.935371958,1
tensorFlow,86.96760988,39.24433494,0.937042265,2
tensorFlow,165.1310148,41.14596009,0.942053186,4
tensorFlow,330.76999,41.28962898,0.93717075,8
tensorFlow,643.40027,37.72241688,0.937376326,16
