backend,mean_fit_time,mean_score_time,mean_test_score,param_epochs
cntk,123.947154,24.67092395,0.938648349,1
cntk,277.4788361,24.1860435,0.941012476,2
cntk,627.4895095,24.5422051,0.941834781,4
cntk,1240.707334,22.95025754,0.942926905,8
cntk,2650.265709,20.51380599,0.943929089,16
theano,48.00804305,21.12420344,0.935962989,1
theano,101.7740594,20.59211254,0.941192335,2
theano,212.6284629,20.92204106,0.938609783,4
theano,439.3951271,15.76641357,0.940678395,8
theano,925.4274175,16.762501,0.938262874,16
tensorFlow,42.71433783,38.20966411,0.934318379,1
tensorFlow,87.96884918,38.22547293,0.939791847,2
tensorFlow,159.8184459,38.54152107,0.93717075,4
tensorFlow,329.624505,36.34363985,0.933932924,8
tensorFlow,649.4512999,35.72827005,0.94374919,16
