,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
55,95.48835842,21.1412077,0.9333418917,0.9398985678,10,16,1,RMSprop,"{'epochs': 16, 'neurons': 1, 'optimizer': 'RMSprop', 'batch_size': 10}",62,0.9426185208,0.9708059157,0.9435436138,0.9702919365,0.9431067641,0.973992594,4.44240785,1.673244119,0.0003778618824,0.001636865513
56,174.583782,27.1373841,0.9353376946,0.941885958,10,16,5,RMSprop,"{'epochs': 16, 'neurons': 5, 'optimizer': 'RMSprop', 'batch_size': 10}",54,0.9344468645,0.9363692366,0.9328536481,0.9415090387,0.9324681925,0.9421258151,2.10365507,0.8207771234,0.0008564823105,0.002580615235
57,202.395722,27.47719693,0.9355432709,0.9430852453,10,16,10,RMSprop,"{'epochs': 16, 'neurons': 10, 'optimizer': 'RMSprop', 'batch_size': 10}",51,0.9405113643,0.9483963746,0.9400745143,0.9509662765,0.9403571816,0.9523026248,3.630181809,0.5786379857,0.0001808962331,0.001621008364
58,255.3179224,34.28980136,0.9355946649,0.9440789405,10,16,15,RMSprop,"{'epochs': 16, 'neurons': 15, 'optimizer': 'RMSprop', 'batch_size': 10}",50,0.9377103878,0.9490131514,0.9378645695,0.9520970329,0.9361942621,0.9492187429,4.638783587,1.304622836,0.000753682497,0.001407801528
59,273.2633228,34.92656962,0.9378131755,0.9464775151,10,16,20,RMSprop,"{'epochs': 16, 'neurons': 20, 'optimizer': 'RMSprop', 'batch_size': 10}",33,0.9362199598,0.9392475256,0.9361942623,0.9422286115,0.933110618,0.9438733483,7.012870024,0.9214451385,0.00145973849,0.001914571829
60,328.7535414,35.01884993,0.9381472369,0.9479851906,10,16,25,RMSprop,"{'epochs': 16, 'neurons': 25, 'optimizer': 'RMSprop', 'batch_size': 10}",28,0.9434922197,0.9630962111,0.9447770716,0.9674136464,0.943003976,0.9674136457,4.09760973,0.7308657974,0.0007478185925,0.002035258375
61,336.1285006,41.19959768,0.9380701457,0.9484306401,10,16,30,RMSprop,"{'epochs': 16, 'neurons': 30, 'optimizer': 'RMSprop', 'batch_size': 10}",30,0.9417448217,0.950760684,0.9404085758,0.9543585459,0.9401516051,0.953330585,2.563081895,1.316176316,0.0006984050368,0.001513116911
62,332.6887057,42.60020336,0.9389181479,0.9479851905,10,16,35,RMSprop,"{'epochs': 16, 'neurons': 35, 'optimizer': 'RMSprop', 'batch_size': 10}",25,0.9440575545,0.9689555862,0.9462931964,0.9727590416,0.9431581585,0.9746093703,3.778840933,0.4633543616,0.001318057118,0.002353608683
63,328.8972077,42.70179494,0.9403143534,0.950555092,10,16,40,RMSprop,"{'epochs': 16, 'neurons': 40, 'optimizer': 'RMSprop', 'batch_size': 10}",20,0.9326737691,0.9340049274,0.932905042,0.940481078,0.9319285547,0.9420230191,1.190855077,0.791349658,0.0004166478763,0.003473837226
64,364.3455704,50.24118837,0.9402629593,0.9503837653,10,16,45,RMSprop,"{'epochs': 16, 'neurons': 45, 'optimizer': 'RMSprop', 'batch_size': 10}",21,0.9407940315,0.9478823946,0.9398946351,0.9516858489,0.9401002111,0.9515830524,1.32236924,1.344184847,0.0003847888596,0.001769233965
65,380.0259239,49.69705574,0.9401601712,0.9509320109,10,16,50,RMSprop,"{'epochs': 16, 'neurons': 50, 'optimizer': 'RMSprop', 'batch_size': 10}",22,0.9395862712,0.9501439077,0.9387125714,0.9537417699,0.9371450523,0.9504522953,5.93479204,0.7652326983,0.001009951421,0.001628235514
