,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
22,96.00477298,22.00886607,0.9363056161,0.9487732936,10,16,1,Adam,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adam', 'batch_size': 10}",46,0.9367339004,0.9425369997,0.9333418916,0.9424342036,0.9367082027,0.9472656181,3.628404863,0.3173064221,0.001592985823,0.002253712098
23,177.204967,27.86809905,0.9371107898,0.9543585463,10,16,5,Adam,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adam', 'batch_size': 10}",40,0.9368880827,0.9443873288,0.9368366882,0.9478823946,0.9358858975,0.9471628217,0.8288617015,1.376144931,0.0004607987699,0.001506896375
24,203.3071221,30.00344729,0.9374105886,0.9577850816,10,16,10,Adam,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adam', 'batch_size': 10}",37,0.934292682,0.9361636444,0.9334703768,0.9382195655,0.9327765566,0.9413034468,1.621279194,0.4399741851,0.0006196960658,0.002112257964
25,268.3863114,33.19413336,0.9388496224,0.9590528996,10,16,15,Adam,"{'epochs': 16, 'neurons': 15, 'optimizer': 'Adam', 'batch_size': 10}",26,0.9403314848,0.9571340398,0.9390980272,0.9602179219,0.9371193551,0.959806737,4.231459428,0.907905459,0.001323057836,0.001367183362
26,277.630606,34.80548437,0.940425707,0.9610402901,10,16,20,Adam,"{'epochs': 16, 'neurons': 20, 'optimizer': 'Adam', 'batch_size': 10}",19,0.9385069957,0.9474712106,0.9367338999,0.9481907828,0.9378131752,0.9487047625,0.829435681,0.8729814034,0.0007295425548,0.0005059215482
27,320.044728,35.99827504,0.9426185205,0.9633703342,10,16,25,Adam,"{'epochs': 16, 'neurons': 25, 'optimizer': 'Adam', 'batch_size': 10}",13,0.9417191245,0.9617598623,0.9423872474,0.9670024621,0.943826281,0.9672080538,0.4982040124,0.754998842,0.0008792240431,0.002521241107
28,346.9386624,41.50708469,0.942078883,0.9646038872,10,16,30,Adam,"{'epochs': 16, 'neurons': 30, 'optimizer': 'Adam', 'batch_size': 10}",15,0.9342669852,0.9368832169,0.932879345,0.9400698939,0.9310805526,0.9412006506,1.423732678,0.6909818599,0.0013044604,0.001827984763
29,341.7602193,42.94521491,0.9426699146,0.9651521325,10,16,35,Adam,"{'epochs': 16, 'neurons': 35, 'optimizer': 'Adam', 'batch_size': 10}",11,0.9374534173,0.9434621641,0.9364512328,0.9475740065,0.9395348763,0.9483963749,2.22159327,1.229410755,0.00128433741,0.002158445269
30,344.8433703,43.58504677,0.9437577558,0.9659745011,10,16,40,Adam,"{'epochs': 16, 'neurons': 40, 'optimizer': 'Adam', 'batch_size': 10}",7,0.9377103877,0.9459292695,0.9368623853,0.9481907825,0.9367852938,0.9490131506,6.663908877,0.2136899006,0.0004191061542,0.001303885366
31,386.5233573,50.21602329,0.9436720991,0.9676535033,10,16,45,Adam,"{'epochs': 16, 'neurons': 45, 'optimizer': 'Adam', 'batch_size': 10}",8,0.9338815298,0.9376027891,0.9346781373,0.9402754865,0.9348580164,0.942023019,4.233629877,1.201047263,0.0004243250993,0.001817679037
32,406.7995714,50.9273266,0.9438948067,0.9688527908,10,16,50,Adam,"{'epochs': 16, 'neurons': 50, 'optimizer': 'Adam', 'batch_size': 10}",6,0.9418733066,0.9614514741,0.9378645692,0.9583675927,0.9415392451,0.9633018035,4.300972799,0.2959097998,0.001816125762,0.002035258061
