,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
33,99.70719767,22.10224263,0.9326566374,0.9387335455,10,16,1,Adamax,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adamax', 'batch_size': 10}",66,0.9401773027,0.948499171,0.9374791142,0.9478823946,0.9365026265,0.9483963743,5.33096716,1.23778915,0.001554098349,0.0002698055461
34,163.8733603,27.99627137,0.9347980569,0.9423999382,10,16,5,Adamax,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adamax', 'batch_size': 10}",56,0.9423101563,0.9628906192,0.9423872474,0.9696751597,0.9436207051,0.970600324,5.212739195,1.285398779,0.000600453439,0.003437141346
35,195.3563794,28.94404968,0.9363056161,0.9452439623,10,16,10,Adamax,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adamax', 'batch_size': 10}",45,0.9329564366,0.935444072,0.9341641966,0.9419202235,0.9298984891,0.940069894,5.492501284,0.3109494896,0.001795240276,0.002723610521
36,260.6616443,35.06291302,0.9376846903,0.9481222519,10,16,15,Adamax,"{'epochs': 16, 'neurons': 15, 'optimizer': 'Adamax', 'batch_size': 10}",36,0.9373506291,0.945620881,0.9375819022,0.948396375,0.9395091794,0.9499383156,7.480359224,1.199121379,0.0009676560404,0.001786405132
37,265.4026349,34.839022,0.9380530144,0.9482593133,10,16,20,Adamax,"{'epochs': 16, 'neurons': 20, 'optimizer': 'Adamax', 'batch_size': 10}",31,0.9379416612,0.94695723,0.9374020229,0.9488075592,0.9358602005,0.9482935784,2.47989461,1.330804383,0.000881974079,0.000779866169
38,316.2066353,35.57697201,0.9377617814,0.9487047629,10,16,25,Adamax,"{'epochs': 16, 'neurons': 25, 'optimizer': 'Adamax', 'batch_size': 10}",35,0.9334446801,0.937499993,0.9348837137,0.9404810786,0.9335217707,0.941611835,13.17243277,0.5218560902,0.0006609462389,0.00173438194
39,332.0515123,42.27939399,0.9392436437,0.9506578879,10,16,30,Adamax,"{'epochs': 16, 'neurons': 30, 'optimizer': 'Adamax', 'batch_size': 10}",24,0.9426956117,0.9619654545,0.9425928235,0.9640213762,0.9425671262,0.9641241718,2.632861146,0.9890109777,5.55E-05,0.0009942860104
40,329.2424316,41.89893238,0.9396376649,0.9510690722,10,16,35,Adamax,"{'epochs': 16, 'neurons': 35, 'optimizer': 'Adamax', 'batch_size': 10}",23,0.9404342732,0.9482935787,0.9365540207,0.948396375,0.9362970502,0.949424335,2.977967456,0.4257110248,0.001892646797,0.0005105420716
41,330.1475433,44.74938647,0.9407683342,0.952816605,10,16,40,Adamax,"{'epochs': 16, 'neurons': 40, 'optimizer': 'Adamax', 'batch_size': 10}",16,0.9451368298,0.9687499949,0.9440575545,0.9697779558,0.9431067645,0.9722450611,3.969573037,1.147838249,0.0008293238456,0.001466621185
42,370.070266,50.776764,0.9404514042,0.9526110133,10,16,45,Adamax,"{'epochs': 16, 'neurons': 45, 'optimizer': 'Adamax', 'batch_size': 10}",18,0.9331620127,0.9365748287,0.9339072263,0.9416118351,0.9296415187,0.9419202232,3.141202133,0.4915666192,0.001860271268,0.002450391797
43,390.1074394,48.63030434,0.9405199296,0.9538103005,10,16,50,Adamax,"{'epochs': 16, 'neurons': 50, 'optimizer': 'Adamax', 'batch_size': 10}",17,0.9396890592,0.9483963748,0.9365797177,0.9482935791,0.9379416603,0.9486019665,2.917515619,1.015876639,0.001272630472,0.0001282089117
