mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer
102.8618244,22.70939326,0.9345582179,0.9525767479,10,16,1,Nadam
189.0000523,28.45390566,0.938087277,0.9580592044,10,16,5,Nadam
210.3159297,28.22809172,0.9421217112,0.9629591499,10,16,10,Nadam
276.4101536,34.56328273,0.9426442176,0.9653234594,10,16,15,Nadam
280.7399867,34.75011539,0.9427727029,0.9677220343,10,16,20,Nadam
328.4738526,35.8997527,0.9441003829,0.9702576706,10,16,25,Nadam
356.9313389,43.55792975,0.9446057579,0.9708401816,10,16,30,Nadam
357.675336,42.22877661,0.9430896329,0.9716968154,10,16,35,Nadam
364.9236947,45.82606864,0.9445029698,0.9721079994,10,16,40,Nadam
413.8299699,51.02332505,0.9454023658,0.9721079997,10,16,45,Nadam
427.9817184,50.31463035,0.9446571519,0.9720052036,10,16,50,Nadam
